Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
89	:	1527973718.784	     0.187	0	0	0	0	rescalepx datasets/danbooru/face22500267.jpg
90	:	1527973718.814	     0.185	0	0	0	0	rescalepx datasets/danbooru/face22530555.jpg
91	:	1527973718.856	     0.161	0	0	0	0	rescalepx datasets/danbooru/face22532728.png
92	:	1527973718.906	     0.212	0	0	0	0	rescalepx datasets/danbooru/face22537212.jpg
93	:	1527973718.922	     0.343	0	0	0	0	rescalepx datasets/danbooru/face22542917.png
94	:	1527973718.970	     0.461	0	0	0	0	rescalepx datasets/danbooru/face22542949.jpg
95	:	1527973718.998	     0.469	0	0	0	0	rescalepx datasets/danbooru/face22543729.jpg
96	:	1527973719.016	     0.496	0	0	0	0	rescalepx datasets/danbooru/face22547169.jpg
97	:	1527973719.118	     0.433	0	0	0	0	rescalepx datasets/danbooru/face22550155.jpg
98	:	1527973719.265	     0.339	0	0	0	0	rescalepx datasets/danbooru/face22555225.png
99	:	1527973719.337	     0.340	0	0	0	0	rescalepx datasets/danbooru/face22559792.jpg
100	:	1527973719.467	     0.223	0	0	0	0	rescalepx datasets/danbooru/face22564871.jpg
102	:	1527973719.550	     0.180	0	0	0	0	rescalepx datasets/danbooru/face22591414.png
101	:	1527973719.511	     0.256	0	0	0	0	rescalepx datasets/danbooru/face22568544.jpg
103	:	1527973719.587	     0.202	0	0	0	0	rescalepx datasets/danbooru/face22629224.jpg
105	:	1527973719.689	     0.134	0	0	0	0	rescalepx datasets/danbooru/face22647374.jpg
104	:	1527973719.673	     0.167	0	0	0	0	rescalepx datasets/danbooru/face22629302.jpg
106	:	1527973719.730	     0.188	0	0	0	0	rescalepx datasets/danbooru/face22654269.jpg
107	:	1527973719.768	     0.171	0	0	0	0	rescalepx datasets/danbooru/face22658729.jpg
108	:	1527973719.788	     0.194	0	0	0	0	rescalepx datasets/danbooru/face22664480.jpg
109	:	1527973719.802	     0.236	0	0	0	0	rescalepx datasets/danbooru/face22664678.png
110	:	1527973719.841	     0.250	0	0	0	0	rescalepx datasets/danbooru/face22666645.jpg
111	:	1527973719.878	     0.249	0	0	0	0	rescalepx datasets/danbooru/face22678330.jpg
112	:	1527973719.939	     0.230	0	0	0	0	rescalepx datasets/danbooru/face22685340.jpg
114	:	1527973720.037	     0.206	0	0	0	0	rescalepx datasets/danbooru/face22694493.jpg
113	:	1527973719.981	     0.302	0	0	0	0	rescalepx datasets/danbooru/face22689511.png
115	:	1527973720.076	     0.243	0	0	0	0	rescalepx datasets/danbooru/face22696693.jpg
117	:	1527973720.162	     0.222	0	0	0	0	rescalepx datasets/danbooru/face22704585.jpg
116	:	1527973720.126	     0.298	0	0	0	0	rescalepx datasets/danbooru/face22700079.jpg
118	:	1527973720.243	     0.207	0	0	0	0	rescalepx datasets/danbooru/face22707999.jpg
119	:	1527973720.282	     0.244	0	0	0	0	rescalepx datasets/danbooru/face22709320.png
121	:	1527973720.383	     0.193	0	0	0	0	rescalepx datasets/danbooru/face22734215.png
123	:	1527973720.449	     0.217	0	0	0	0	rescalepx datasets/danbooru/face22751092.png
120	:	1527973720.318	     0.462	0	0	0	0	rescalepx datasets/danbooru/face22731937.jpg
122	:	1527973720.424	     0.421	0	0	0	0	rescalepx datasets/danbooru/face22743744.jpg
124	:	1527973720.526	     0.379	0	0	0	0	rescalepx datasets/danbooru/face22751965.jpg
125	:	1527973720.557	     0.375	0	0	0	0	rescalepx datasets/danbooru/face22754511.png
126	:	1527973720.605	     0.394	0	0	0	0	rescalepx datasets/danbooru/face22773582.jpg
128	:	1527973720.844	     0.259	0	0	0	0	rescalepx datasets/danbooru/face22773983.jpg
127	:	1527973720.780	     0.400	0	0	0	0	rescalepx datasets/danbooru/face22773797.png
129	:	1527973720.906	     0.377	0	0	0	0	rescalepx datasets/danbooru/face22791254.jpg
130	:	1527973720.931	     0.370	0	0	0	0	rescalepx datasets/danbooru/face22791801.png
132	:	1527973721.104	     0.355	0	0	0	0	rescalepx datasets/danbooru/face22802982.jpg
131	:	1527973720.999	     0.491	0	0	0	0	rescalepx datasets/danbooru/face22798189.jpg
133	:	1527973721.179	     0.351	0	0	0	0	rescalepx datasets/danbooru/face22817963.jpg
134	:	1527973721.282	     0.261	0	0	0	0	rescalepx datasets/danbooru/face22826452.jpg
135	:	1527973721.300	     0.307	0	0	0	0	rescalepx datasets/danbooru/face22827621.png
136	:	1527973721.335	     0.287	0	0	0	0	rescalepx datasets/danbooru/face22838184.jpg
137	:	1527973721.490	     0.201	0	0	0	0	rescalepx datasets/danbooru/face22844911.jpg
139	:	1527973721.543	     0.268	0	0	0	0	rescalepx datasets/danbooru/face22851120.jpg
141	:	1527973721.623	     0.264	0	0	0	0	rescalepx datasets/danbooru/face22884200.jpg
140	:	1527973721.605	     0.338	0	0	0	0	rescalepx datasets/danbooru/face22866774.png
138	:	1527973721.529	     0.582	0	0	0	0	rescalepx datasets/danbooru/face22849184.jpg
142	:	1527973721.691	     0.503	0	0	0	0	rescalepx datasets/danbooru/face22887075.png
143	:	1527973721.799	     0.453	0	0	0	0	rescalepx datasets/danbooru/face22898929.jpg
144	:	1527973721.886	     0.448	0	0	0	0	rescalepx datasets/danbooru/face22909464.jpg
145	:	1527973721.942	     0.411	0	0	0	0	rescalepx datasets/danbooru/face22911871.png
146	:	1527973721.972	     0.401	0	0	0	0	rescalepx datasets/danbooru/face22925530.jpg
147	:	1527973722.194	     0.233	0	0	0	0	rescalepx datasets/danbooru/face22933029.jpg
148	:	1527973722.252	     0.274	0	0	0	0	rescalepx datasets/danbooru/face22938394.jpg
149	:	1527973722.333	     0.255	0	0	0	0	rescalepx datasets/danbooru/face22941840.jpg
151	:	1527973722.372	     0.279	0	0	0	0	rescalepx datasets/danbooru/face22955965.jpg
150	:	1527973722.352	     0.351	0	0	0	0	rescalepx datasets/danbooru/face22945354.jpg
152	:	1527973722.422	     0.325	0	0	0	0	rescalepx datasets/danbooru/face22965159.jpg
154	:	1527973722.545	     0.276	0	0	0	0	rescalepx datasets/danbooru/face22968886.jpg
153	:	1527973722.512	     0.371	0	0	0	0	rescalepx datasets/danbooru/face22965801.png
155	:	1527973722.627	     0.317	0	0	0	0	rescalepx datasets/danbooru/face22970703.jpg
156	:	1527973722.703	     0.291	0	0	0	0	rescalepx datasets/danbooru/face22972928.jpg
157	:	1527973722.747	     0.446	0	0	0	0	rescalepx datasets/danbooru/face31071018.jpg
159	:	1527973722.875	     0.436	0	0	0	0	rescalepx datasets/danbooru/face31214031.jpg
160	:	1527973722.945	     0.429	0	0	0	0	rescalepx datasets/danbooru/face31259506.jpg
158	:	1527973722.761	     0.703	0	0	0	0	rescalepx datasets/danbooru/face31183726.jpg
161	:	1527973722.995	     0.578	0	0	0	0	rescalepx datasets/danbooru/face31587784.jpg
162	:	1527973723.193	     0.480	0	0	0	0	rescalepx datasets/danbooru/face31764844.jpg
163	:	1527973723.310	     0.444	0	0	0	0	rescalepx datasets/danbooru/face31800857.jpg
164	:	1527973723.373	     0.405	0	0	0	0	rescalepx datasets/danbooru/face31884447.jpg
165	:	1527973723.430	     0.366	0	0	0	0	rescalepx datasets/danbooru/face31900706.png
166	:	1527973723.538	     0.376	0	0	0	0	rescalepx datasets/danbooru/face31911439.jpg
167	:	1527973723.673	     0.290	0	0	0	0	rescalepx datasets/danbooru/face31957707.jpg
169	:	1527973723.777	     0.246	0	0	0	0	rescalepx datasets/danbooru/face32051937.jpg
168	:	1527973723.753	     0.295	0	0	0	0	rescalepx datasets/danbooru/face31981121.png
170	:	1527973723.797	     0.331	0	0	0	0	rescalepx datasets/danbooru/face32051950.jpg
171	:	1527973723.914	     0.253	0	0	0	0	rescalepx datasets/danbooru/face32183483.jpg
174	:	1527973724.047	     0.195	0	0	0	0	rescalepx datasets/danbooru/face32543729.jpg
172	:	1527973723.964	     0.339	0	0	0	0	rescalepx datasets/danbooru/face32372824.jpg
173	:	1527973723.977	     0.348	0	0	0	0	rescalepx datasets/danbooru/face32428579.jpg
175	:	1527973724.127	     0.305	0	0	0	0	rescalepx datasets/danbooru/face32629224.jpg
176	:	1527973724.166	     0.285	0	0	0	0	rescalepx datasets/danbooru/face32666645.jpg
177	:	1527973724.222	     0.267	0	0	0	0	rescalepx datasets/danbooru/face32707999.jpg
178	:	1527973724.303	     0.253	0	0	0	0	rescalepx datasets/danbooru/face32709324.png
179	:	1527973724.326	     0.304	0	0	0	0	rescalepx datasets/danbooru/face32731937.jpg
180	:	1527973724.433	     0.245	0	0	0	0	rescalepx datasets/danbooru/face32801103.jpg
181	:	1527973724.450	     0.352	0	0	0	0	rescalepx datasets/danbooru/face32929025.jpg
182	:	1527973724.488	     0.327	0	0	0	0	rescalepx datasets/danbooru/face32965801.png
183	:	1527973724.519	     0.363	0	0	0	0	rescalepx datasets/danbooru/face41071018.jpg
184	:	1527973724.630	     0.267	0	0	0	0	rescalepx datasets/danbooru/face41084828.png
185	:	1527973724.679	     0.261	0	0	0	0	rescalepx datasets/danbooru/face41587784.jpg
186	:	1527973724.695	     0.361	0	0	0	0	rescalepx datasets/danbooru/face41764844.jpg
187	:	1527973724.815	     0.254	0	0	0	0	rescalepx datasets/danbooru/face42051937.jpg
188	:	1527973724.882	     0.243	0	0	0	0	rescalepx datasets/danbooru/face42183483.jpg
190	:	1527973724.940	     0.236	0	0	0	0	rescalepx datasets/danbooru/face51071018.jpg
191	:	1527973725.056	     0.154	0	0	0	0	rescalepx datasets/danbooru/face52051937.jpg
192	:	1527973725.070	     0.215	0	0	0	0	rescalepx datasets/danbooru/face52183483.jpg
189	:	1527973724.898	     0.398	0	0	0	0	rescalepx datasets/danbooru/face42731937.jpg
193	:	1527973725.105	     0.250	0	0	0	0	rescalepx datasets/danbooru/face62183483.jpg
194	:	1527973725.176	     0.219	0	0	0	0	rescalepx datasets/danbooru/face72183483.jpg
195	:	1527973725.210	     0.213	0	0	0	0	rescalepx datasets/danbooru/face82183483.jpg
196	:	1527973725.254	     0.184	0	0	0	0	rescalepx datasets/danbooru/face92183483.jpg
199	:	1527973725.376	     0.182	0	0	0	0	rescalepx datasets/danbooru/face1682.jpg
197	:	1527973725.296	     0.309	0	0	0	0	rescalepx datasets/danbooru/face102183483.jpg
198	:	1527973725.350	     0.273	0	0	0	0	rescalepx datasets/danbooru/face1260.jpg
200	:	1527973725.423	     0.293	0	0	0	0	rescalepx datasets/danbooru/face1920.jpg
201	:	1527973725.438	     0.312	0	0	0	0	rescalepx datasets/danbooru/face1999.png
202	:	1527973725.455	     0.322	0	0	0	0	rescalepx datasets/danbooru/face11024.jpg
204	:	1527973725.623	     0.254	0	0	0	0	rescalepx datasets/danbooru/face11161.jpg
203	:	1527973725.606	     0.353	0	0	0	0	rescalepx datasets/danbooru/face11136.jpg
205	:	1527973725.673	     0.306	0	0	0	0	rescalepx datasets/danbooru/face11186.jpg
206	:	1527973725.750	     0.325	0	0	0	0	rescalepx datasets/danbooru/face11293.jpg
207	:	1527973725.776	     0.348	0	0	0	0	rescalepx datasets/danbooru/face11307.jpg
208	:	1527973725.877	     0.267	0	0	0	0	rescalepx datasets/danbooru/face11310.jpg
209	:	1527973725.906	     0.292	0	0	0	0	rescalepx datasets/danbooru/face11464.jpg
210	:	1527973725.980	     0.292	0	0	0	0	rescalepx datasets/danbooru/face11584.jpg
212	:	1527973726.089	     0.236	0	0	0	0	rescalepx datasets/danbooru/face12041.jpg
211	:	1527973726.076	     0.269	0	0	0	0	rescalepx datasets/danbooru/face11915.png
213	:	1527973726.144	     0.286	0	0	0	0	rescalepx datasets/danbooru/face12071.jpg
214	:	1527973726.198	     0.271	0	0	0	0	rescalepx datasets/danbooru/face12278.jpg
215	:	1527973726.261	     0.261	0	0	0	0	rescalepx datasets/danbooru/face12395.jpg
216	:	1527973726.321	     0.273	0	0	0	0	rescalepx datasets/danbooru/face13359.jpg
217	:	1527973726.345	     0.290	0	0	0	0	rescalepx datasets/danbooru/face13381.jpg
219	:	1527973726.468	     0.183	0	0	0	0	rescalepx datasets/danbooru/face13675.jpg
218	:	1527973726.429	     0.286	0	0	0	0	rescalepx datasets/danbooru/face13476.jpg
220	:	1527973726.511	     0.256	0	0	0	0	rescalepx datasets/danbooru/face13689.png
221	:	1527973726.593	     0.335	0	0	0	0	rescalepx datasets/danbooru/face13800.jpg
222	:	1527973726.635	     0.328	0	0	0	0	rescalepx datasets/danbooru/face13934.jpg
223	:	1527973726.651	     0.325	0	0	0	0	rescalepx datasets/danbooru/face13970.jpg
224	:	1527973726.692	     0.334	0	0	0	0	rescalepx datasets/danbooru/face15258.jpg
225	:	1527973726.766	     0.282	0	0	0	0	rescalepx datasets/danbooru/face15732.jpg
226	:	1527973726.928	     0.161	0	0	0	0	rescalepx datasets/danbooru/face16011.jpg
227	:	1527973726.963	     0.247	0	0	0	0	rescalepx datasets/danbooru/face16172.jpg
228	:	1527973726.977	     0.259	0	0	0	0	rescalepx datasets/danbooru/face16263.jpg
229	:	1527973727.009	     0.322	0	0	0	0	rescalepx datasets/danbooru/face17096.jpg
230	:	1527973727.049	     0.302	0	0	0	0	rescalepx datasets/danbooru/face18081.jpg
231	:	1527973727.089	     0.296	0	0	0	0	rescalepx datasets/danbooru/face18109.jpg
232	:	1527973727.135	     0.288	0	0	0	0	rescalepx datasets/danbooru/face18153.jpg
233	:	1527973727.236	     0.241	0	0	0	0	rescalepx datasets/danbooru/face18503.jpg
234	:	1527973727.330	     0.190	0	0	0	0	rescalepx datasets/danbooru/face18930.jpg
235	:	1527973727.350	     0.207	0	0	0	0	rescalepx datasets/danbooru/face19392.jpg
236	:	1527973727.384	     0.233	0	0	0	0	rescalepx datasets/danbooru/face19402.jpg
237	:	1527973727.422	     0.225	0	0	0	0	rescalepx datasets/danbooru/face19416.jpg
238	:	1527973727.471	     0.197	0	0	0	0	rescalepx datasets/danbooru/face19454.jpg
239	:	1527973727.520	     0.210	0	0	0	0	rescalepx datasets/danbooru/face19660.jpg
240	:	1527973727.556	     0.338	0	0	0	0	rescalepx datasets/danbooru/face110005.jpg
241	:	1527973727.617	     0.324	0	0	0	0	rescalepx datasets/danbooru/face110612.jpg
242	:	1527973727.647	     0.464	0	0	0	0	rescalepx datasets/danbooru/face110666.jpg
243	:	1527973727.668	     0.467	0	0	0	0	rescalepx datasets/danbooru/face110710.jpg
246	:	1527973727.942	     0.246	0	0	0	0	rescalepx datasets/danbooru/face111097.jpg
244	:	1527973727.704	     0.517	0	0	0	0	rescalepx datasets/danbooru/face110761.jpg
245	:	1527973727.894	     0.348	0	0	0	0	rescalepx datasets/danbooru/face111086.jpg
248	:	1527973728.136	     0.226	0	0	0	0	rescalepx datasets/danbooru/face111304.jpg
247	:	1527973728.041	     0.362	0	0	0	0	rescalepx datasets/danbooru/face111178.jpg
249	:	1527973728.176	     0.260	0	0	0	0	rescalepx datasets/danbooru/face111339.jpg
250	:	1527973728.222	     0.243	0	0	0	0	rescalepx datasets/danbooru/face111363.jpg
251	:	1527973728.243	     0.283	0	0	0	0	rescalepx datasets/danbooru/face111420.jpg
252	:	1527973728.361	     0.184	0	0	0	0	rescalepx datasets/danbooru/face111512.jpg
253	:	1527973728.403	     0.165	0	0	0	0	rescalepx datasets/danbooru/face111872.jpg
255	:	1527973728.465	     0.136	0	0	0	0	rescalepx datasets/danbooru/face111999.jpg
254	:	1527973728.437	     0.187	0	0	0	0	rescalepx datasets/danbooru/face111910.jpg
256	:	1527973728.502	     0.169	0	0	0	0	rescalepx datasets/danbooru/face112152.jpg
257	:	1527973728.544	     0.216	0	0	0	0	rescalepx datasets/danbooru/face112229.png
258	:	1527973728.569	     0.269	0	0	0	0	rescalepx datasets/danbooru/face112331.jpg
259	:	1527973728.601	     0.359	0	0	0	0	rescalepx datasets/danbooru/face112396.jpg
260	:	1527973728.623	     0.355	0	0	0	0	rescalepx datasets/danbooru/face112447.png
261	:	1527973728.671	     0.362	0	0	0	0	rescalepx datasets/danbooru/face112500.jpg
262	:	1527973728.759	     0.292	0	0	0	0	rescalepx datasets/danbooru/face112548.jpg
263	:	1527973728.838	     0.328	0	0	0	0	rescalepx datasets/danbooru/face112585.jpg
264	:	1527973728.960	     0.246	0	0	0	0	rescalepx datasets/danbooru/face112658.jpg
265	:	1527973728.977	     0.244	0	0	0	0	rescalepx datasets/danbooru/face112751.jpg
266	:	1527973729.034	     0.238	0	0	0	0	rescalepx datasets/danbooru/face113214.jpg
267	:	1527973729.051	     0.297	0	0	0	0	rescalepx datasets/danbooru/face113221.jpg
268	:	1527973729.073	     0.292	0	0	0	0	rescalepx datasets/danbooru/face113351.jpg
269	:	1527973729.206	     0.203	0	0	0	0	rescalepx datasets/danbooru/face113356.jpg
270	:	1527973729.221	     0.273	0	0	0	0	rescalepx datasets/danbooru/face113671.jpg
271	:	1527973729.261	     0.269	0	0	0	0	rescalepx datasets/danbooru/face113723.jpg
272	:	1527973729.348	     0.243	0	0	0	0	rescalepx datasets/danbooru/face113898.jpg
273	:	1527973729.364	     0.266	0	0	0	0	rescalepx datasets/danbooru/face114159.jpg
274	:	1527973729.409	     0.263	0	0	0	0	rescalepx datasets/danbooru/face114633.jpg
275	:	1527973729.493	     0.194	0	0	0	0	rescalepx datasets/danbooru/face114860.jpg
276	:	1527973729.529	     0.221	0	0	0	0	rescalepx datasets/danbooru/face115978.jpg
277	:	1527973729.591	     0.201	0	0	0	0	rescalepx datasets/danbooru/face115996.jpg
278	:	1527973729.631	     0.233	0	0	0	0	rescalepx datasets/danbooru/face116042.jpg
279	:	1527973729.671	     0.243	0	0	0	0	rescalepx datasets/danbooru/face116314.jpg
280	:	1527973729.687	     0.246	0	0	0	0	rescalepx datasets/danbooru/face116407.jpg
281	:	1527973729.750	     0.250	0	0	0	0	rescalepx datasets/danbooru/face116956.jpg
282	:	1527973729.792	     0.251	0	0	0	0	rescalepx datasets/danbooru/face118444.jpg
283	:	1527973729.864	     0.223	0	0	0	0	rescalepx datasets/danbooru/face118545.jpg
284	:	1527973729.914	     0.207	0	0	0	0	rescalepx datasets/danbooru/face120045.jpg
285	:	1527973729.931	     0.239	0	0	0	0	rescalepx datasets/danbooru/face120857.jpg
286	:	1527973730.001	     0.182	0	0	0	0	rescalepx datasets/danbooru/face121431.jpg
288	:	1527973730.088	     0.260	0	0	0	0	rescalepx datasets/danbooru/face122018.jpg
287	:	1527973730.044	     0.366	0	0	0	0	rescalepx datasets/danbooru/face121458.jpg
289	:	1527973730.121	     0.339	0	0	0	0	rescalepx datasets/danbooru/face122475.jpg
290	:	1527973730.170	     0.307	0	0	0	0	rescalepx datasets/danbooru/face122641.jpg
293	:	1527973730.410	     0.168	0	0	0	0	rescalepx datasets/danbooru/face123501.jpg
291	:	1527973730.182	     0.457	0	0	0	0	rescalepx datasets/danbooru/face122722.jpg
292	:	1527973730.349	     0.327	0	0	0	0	rescalepx datasets/danbooru/face123138.jpg
294	:	1527973730.460	     0.230	0	0	0	0	rescalepx datasets/danbooru/face123537.jpg
295	:	1527973730.478	     0.266	0	0	0	0	rescalepx datasets/danbooru/face123622.jpg
296	:	1527973730.513	     0.244	0	0	0	0	rescalepx datasets/danbooru/face124537.jpg
297	:	1527973730.638	     0.206	0	0	0	0	rescalepx datasets/danbooru/face124733.jpg
298	:	1527973730.675	     0.184	0	0	0	0	rescalepx datasets/danbooru/face125861.jpg
299	:	1527973730.690	     0.247	0	0	0	0	rescalepx datasets/danbooru/face125956.jpg
